,year,rating,vote,runtime,kind_N,genre_N,country_N,language_N,director_N
1582,1998.0,7.4,Several,121.0,1,7,9,8,9
1583,1993.0,4.6,Several,103.0,1,10,8,1,9
1584,1972.0,7.4,Several,85.0,1,4,5,5,9
1587,2002.0,4.9,None,68.0,7,4,8,1,9
1588,1995.0,6.7,Several,32.0,1,4,7,1,9
1589,1994.0,8.1,Many,121.0,1,7,9,2,9
1590,2002.0,7.6,None,96.0,1,9,8,1,9
1591,1998.0,7.3,Several,107.0,1,0,3,0,9
1592,1995.0,7.4,Several,88.0,1,4,9,9,9
1594,1993.0,7.2,Several,106.0,3,3,8,1,9
1595,2003.0,7.0,None,113.0,0,6,9,9,9
1596,2003.0,7.1,None,120.0,3,7,8,1,9
1597,1996.0,6.3,Few,94.0,1,1,1,1,9
1598,2003.0,8.6,Few,62.0,7,9,8,1,9
1600,2005.0,8.2,Few,22.0,7,6,8,1,9
1601,1995.0,5.5,None,96.0,3,7,8,1,9
1602,2003.0,3.5,Several,96.0,7,0,8,1,9
1604,1936.0,6.7,Many,101.0,1,7,7,1,9
1605,1983.0,7.1,Many,86.0,1,0,8,1,9
1606,2005.0,7.4,None,83.0,7,6,8,1,9
1607,1988.0,4.9,Several,64.0,1,0,5,9,9
1608,1993.0,7.5,Many,120.0,1,0,3,0,9
1609,2002.0,6.3,Few,180.0,3,2,8,7,9
1611,2003.0,6.8,Few,168.0,3,7,8,1,9
1612,1986.0,3.2,Several,106.0,1,1,7,1,9
1613,1992.0,6.9,Many,63.0,1,0,4,4,9
1615,2001.0,2.7,Few,55.0,7,4,8,1,9
1616,2002.0,8.1,Few,60.0,2,6,8,1,10
1617,1998.0,4.4,Several,102.0,7,4,8,1,9
1618,2002.0,3.9,Few,237.0,7,0,8,1,3
1619,2003.0,7.2,Several,97.0,1,0,9,9,9
1621,2003.0,6.7,Few,112.0,1,4,8,1,9
1622,1965.0,7.6,Several,125.0,1,0,6,6,9
1623,1980.0,7.4,Several,93.0,1,0,9,9,9
1624,2001.0,5.6,None,139.0,1,10,8,1,9
1625,1977.0,7.5,Few,104.0,4,4,8,1,10
1626,2002.0,7.2,None,75.0,0,6,7,1,9
1627,2004.0,6.2,Many,56.0,3,4,8,1,9
1628,2000.0,7.1,Several,270.0,1,7,9,9,9
1629,1990.0,8.1,None,250.0,0,6,8,1,9
1630,2003.0,7.6,None,106.0,7,9,8,1,9
1631,1993.0,5.9,Few,30.0,1,0,8,1,9
1632,1998.0,6.6,Several,139.0,1,4,8,1,9
1633,1975.0,7.6,Several,30.0,1,7,9,3,9
1634,2000.0,4.4,Several,127.0,1,5,1,1,9
1635,1996.0,6.1,Few,105.0,1,5,5,5,9
1636,1998.0,7.0,Several,92.0,1,4,9,9,9
1637,1998.0,7.2,None,93.0,0,6,8,1,9
1638,1972.0,6.7,None,91.0,4,2,6,6,10
1639,1999.0,6.3,Several,30.0,1,0,4,4,9
1640,1999.0,6.1,Many,86.0,1,0,3,0,9
1641,2002.0,6.0,Several,104.0,1,4,8,1,9
1642,2003.0,4.7,Several,87.0,7,3,8,1,9
1643,1991.0,7.3,Several,91.0,3,7,8,1,9
1644,1995.0,6.5,Many,83.0,4,0,8,1,10
1646,1991.0,6.0,None,85.0,7,10,8,1,9
1647,1969.0,6.8,Several,80.0,1,7,7,1,9
1648,2001.0,7.0,Several,63.0,1,4,7,1,9
1649,1998.0,8.6,None,100.0,7,6,8,9,9
1650,1945.0,7.5,Many,237.0,1,7,7,1,9
1652,2004.0,4.2,Several,48.0,1,7,9,1,9
1653,1963.0,6.5,Many,106.0,1,1,7,1,9
1654,1995.0,7.5,None,102.0,7,2,8,1,10
1655,1989.0,5.9,None,105.0,1,5,3,0,9
1656,2005.0,7.5,None,128.0,1,6,8,1,9
1657,2001.0,7.3,Few,105.0,1,6,9,1,9
1659,1981.0,8.3,None,88.0,7,6,8,1,9
1660,1997.0,7.7,Few,104.0,2,6,8,1,10
1662,1990.0,7.9,Several,90.0,3,2,6,6,9
1663,1976.0,7.6,Many,120.0,1,5,2,2,9
1664,1962.0,7.9,Many,200.0,1,7,5,5,9
1665,1990.0,7.9,Few,25.0,5,2,8,1,9
1666,2004.0,7.7,None,47.0,1,6,8,1,9
1667,1984.0,7.5,Several,120.0,1,2,6,6,9
1668,1993.0,6.5,Several,94.0,1,5,8,1,9
1670,1992.0,5.7,Many,92.0,1,4,8,1,9
1672,2002.0,6.0,Few,93.0,1,7,1,1,9
1673,2001.0,5.4,Few,90.0,1,7,2,2,9
1674,2004.0,7.1,Few,25.0,2,5,1,1,10
1675,1926.0,6.6,Several,168.0,1,1,8,1,9
1676,1973.0,7.6,Several,140.0,1,0,6,6,9
1677,2004.0,5.9,Many,95.0,1,7,1,1,9
1678,2004.0,8.2,None,100.0,7,7,8,1,10
1679,1993.0,7.3,Several,140.0,1,7,7,1,9
1680,2000.0,6.2,Several,101.0,1,7,6,6,9
1681,2000.0,7.3,Many,65.0,4,2,6,1,10
1682,2000.0,7.9,Several,120.0,1,2,6,6,9
1683,1996.0,7.2,Several,57.0,1,2,6,6,9
1684,2005.0,2.3,None,186.0,7,0,1,1,9
1685,1987.0,7.0,None,33.0,7,10,8,1,9
1686,1997.0,6.8,Several,97.0,1,7,7,1,9
1688,2000.0,2.9,None,30.0,7,8,8,1,9
1689,1956.0,8.6,Many,87.0,1,6,2,2,9
1690,2001.0,6.5,Few,120.0,3,8,8,1,9
1691,1999.0,6.6,Several,68.0,1,6,8,1,9
1692,1993.0,7.3,Many,96.0,1,3,7,1,9
1693,2004.0,3.0,None,86.0,1,4,8,1,9
1695,1996.0,7.9,Several,85.0,0,0,7,1,7
1696,2001.0,5.4,None,105.0,3,6,9,1,9
1697,2004.0,7.8,Many,87.0,1,1,9,8,9
1698,2004.0,6.9,None,98.0,7,6,8,1,9
1699,1996.0,6.0,Few,46.0,3,7,8,1,9
1700,2001.0,7.4,None,90.0,7,6,8,1,9
1701,1966.0,7.0,Many,157.0,1,4,8,1,9
1702,1998.0,7.3,None,88.0,1,6,8,1,9
1703,1997.0,7.4,Many,98.0,1,7,9,8,9
1704,1972.0,7.9,Many,52.0,1,0,9,3,8
1706,1996.0,8.1,Several,104.0,1,7,3,0,9
1707,2000.0,8.1,Many,88.0,1,7,9,8,9
1708,1997.0,7.1,Several,98.0,1,4,7,1,9
1709,1928.0,7.1,Several,97.0,1,7,9,9,9
1710,1987.0,8.2,Few,82.0,7,6,5,1,9
1711,2003.0,7.2,Few,154.0,7,2,8,1,9
1713,2002.0,5.8,Many,99.0,7,2,8,1,9
1714,1970.0,7.8,Many,31.0,1,0,9,9,9
1715,2003.0,4.9,Many,99.0,1,4,8,1,9
1717,1996.0,7.6,Few,109.0,1,6,8,1,9
1718,2002.0,6.6,Few,113.0,1,6,8,8,9
1720,1988.0,5.6,Many,60.0,1,0,0,1,9
1721,2003.0,8.0,Few,148.0,1,6,8,1,9
1723,1994.0,5.8,Few,90.0,3,0,8,1,9
1724,2004.0,8.2,None,49.0,7,6,8,1,10
1727,1955.0,7.3,None,45.0,2,6,7,1,10
1729,1971.0,6.6,Several,82.0,1,8,7,1,9
1731,1983.0,7.4,None,61.0,0,1,8,1,9
1732,2003.0,7.1,Many,86.0,1,0,4,4,9
1734,2003.0,6.0,None,94.0,3,6,8,1,9
1735,2003.0,7.3,Few,89.0,1,6,9,9,9
1737,2002.0,6.8,None,78.0,1,6,8,1,9
1738,2001.0,7.5,Few,90.0,1,6,8,1,9
1739,1960.0,6.5,Several,108.0,1,4,7,1,9
1740,2004.0,6.4,Several,22.0,1,5,7,1,9
1741,1995.0,6.1,Several,90.0,1,0,3,0,4
1742,1999.0,6.8,None,114.0,7,6,8,1,9
1743,1988.0,8.9,Few,31.0,2,6,8,1,10
1744,2002.0,7.0,None,153.0,7,6,8,1,9
1745,2002.0,5.2,None,91.0,4,2,6,6,10
1746,1993.0,6.8,Many,92.0,4,7,8,1,10
1747,1995.0,8.0,None,94.0,7,10,8,1,9
1748,2002.0,7.4,None,70.0,3,6,8,1,10
1749,1987.0,5.1,None,122.0,3,7,8,1,9
1750,1993.0,6.9,Few,87.0,0,5,7,1,9
1751,2000.0,5.4,Few,24.0,3,10,8,1,9
1752,1951.0,8.2,Several,97.0,1,7,7,1,9
1753,1965.0,6.3,Several,60.0,1,8,7,1,9
1755,2000.0,4.3,Several,23.0,7,8,8,1,9
1756,1997.0,6.4,Many,96.0,1,0,8,1,9
1757,1994.0,6.7,Few,60.0,1,7,6,6,9
1758,1968.0,5.9,Few,30.0,1,4,8,1,9
1759,1988.0,4.6,Many,145.0,1,4,8,1,9
1760,1997.0,7.1,Several,90.0,1,7,2,8,9
1761,2004.0,8.3,None,142.0,7,9,8,1,9
1762,1981.0,7.1,Few,122.0,4,4,7,1,10
1763,1996.0,8.5,None,90.0,0,0,9,9,9
1764,2002.0,7.7,Several,24.0,4,2,6,6,10
1765,1998.0,5.4,Few,67.0,7,10,9,1,9
1766,1978.0,8.9,Few,105.0,0,7,8,1,9
1767,2004.0,7.0,None,121.0,3,6,8,1,10
1768,2005.0,7.9,Many,94.0,2,5,7,1,10
1769,1998.0,6.5,Few,111.0,1,7,8,1,9
1770,1973.0,6.4,Many,106.0,1,5,9,9,9
1771,1983.0,7.4,Many,22.0,1,4,7,1,9
1772,1973.0,7.6,Several,78.0,1,0,4,4,9
1773,2003.0,7.6,None,82.0,7,10,1,1,9
1774,2001.0,7.4,None,79.0,0,6,9,9,9
1775,2004.0,5.5,Few,140.0,1,6,8,1,9
1776,2003.0,8.3,None,108.0,7,6,8,1,9
1778,1999.0,4.7,Several,42.0,2,0,8,1,10
1779,1996.0,6.3,Few,85.0,3,3,9,3,9
1780,1991.0,5.4,Few,89.0,3,10,8,1,9
1781,1958.0,7.3,Many,26.0,1,7,7,1,9
1784,1999.0,7.6,None,138.0,0,6,8,1,9
1785,1995.0,8.2,None,46.0,1,9,8,1,9
1786,1997.0,5.4,Many,93.0,1,4,8,1,9
1787,2004.0,4.1,None,39.0,7,7,8,1,9
1788,1985.0,7.7,Few,180.0,0,1,7,1,9
1790,2000.0,7.1,Several,83.0,1,7,9,9,9
1791,1938.0,7.3,Few,110.0,1,3,9,9,9
1792,1961.0,7.4,Several,192.0,1,7,9,9,9
1793,1998.0,4.9,Several,90.0,1,0,1,1,9
1794,1996.0,7.3,None,147.0,1,6,7,1,9
1795,1984.0,7.0,None,117.0,0,1,8,1,9
1796,1991.0,5.5,None,84.0,6,0,8,1,9
1797,2002.0,7.1,None,66.0,4,2,6,6,10
1798,1991.0,7.8,None,125.0,1,6,9,3,9
1799,2001.0,5.8,Few,102.0,3,7,8,1,9
1800,1930.0,7.1,Several,77.0,1,4,2,2,9
1801,1970.0,7.7,Many,72.0,3,2,8,1,9
1802,1981.0,6.3,None,97.0,1,0,4,4,9
1803,2000.0,7.1,Many,113.0,1,7,2,1,9
1804,2003.0,6.9,Several,126.0,1,7,6,6,9
1805,1999.0,5.7,Several,98.0,1,7,4,4,9
1806,1988.0,5.9,Many,92.0,1,4,8,1,9
1807,2000.0,5.9,Few,177.0,4,10,8,1,10
1808,1995.0,6.5,Few,195.0,1,8,9,9,9
1809,1999.0,7.4,Several,81.0,1,1,9,2,9
1810,1973.0,7.6,Few,87.0,1,6,8,1,9
1811,1981.0,5.7,Several,60.0,1,8,5,5,9
1812,1996.0,7.2,Several,4.0,2,10,8,1,10
1813,2003.0,4.4,Several,23.0,1,8,7,1,9
1814,2001.0,6.6,Several,105.0,7,2,8,1,9
1815,1994.0,5.9,None,92.0,4,2,8,1,10
1816,2003.0,6.3,Several,180.0,1,8,4,4,9
1817,2001.0,3.1,Several,120.0,1,0,9,1,9
1818,1965.0,5.7,None,92.0,1,0,2,3,9
1819,1999.0,4.1,Many,167.0,7,5,8,1,9
1820,1994.0,7.9,None,25.0,1,9,8,5,9
1822,1988.0,8.0,Many,150.0,1,5,8,4,9
1823,2003.0,7.6,Few,93.0,2,6,7,1,10
1824,2000.0,5.8,Few,95.0,3,4,9,1,9
1825,1997.0,6.1,Few,33.0,1,7,7,1,9
1827,1983.0,5.0,Several,100.0,1,4,8,1,9
1829,1997.0,7.5,None,106.0,4,2,9,9,10
1830,1993.0,6.9,Several,99.0,1,4,3,1,9
1831,2000.0,6.2,Few,103.0,1,4,3,0,9
1832,2004.0,8.6,None,100.0,7,9,7,1,9
1833,2001.0,6.8,Several,120.0,1,0,9,3,9
1835,2004.0,2.2,None,75.0,7,8,9,1,9
1836,1999.0,8.0,None,99.0,7,6,8,1,9
1837,2001.0,7.8,None,60.0,1,6,8,1,9
1838,1993.0,7.5,Few,105.0,3,4,8,1,9
1839,2003.0,7.7,Several,96.0,3,3,7,1,9
1840,2003.0,8.0,None,99.0,7,6,8,1,9
1841,2001.0,4.2,Few,40.0,1,7,4,4,9
1842,1995.0,7.2,Several,106.0,3,7,8,1,9
1843,1982.0,5.4,Several,102.0,1,0,8,1,9
1845,1996.0,6.7,Many,100.0,3,4,8,1,9
1847,1984.0,6.3,Few,90.0,1,0,3,9,9
1849,1974.0,7.5,Many,119.0,4,7,9,9,10
1850,1988.0,7.0,Many,86.0,1,5,3,0,9
1852,2002.0,6.8,Many,178.0,1,7,7,1,9
1853,2000.0,7.9,Many,74.0,4,2,6,1,10
1854,1976.0,6.6,Several,85.0,1,7,2,2,9
1855,1994.0,5.8,Several,178.0,1,0,2,5,9
1856,1994.0,6.0,Few,87.0,7,0,8,1,9
1857,1977.0,7.5,Many,130.0,1,7,7,1,9
1858,2000.0,8.2,Many,90.0,1,4,9,7,9
1859,2000.0,6.5,Few,20.0,3,7,8,1,9
1860,1925.0,8.0,Many,123.0,1,7,9,9,9
1861,2002.0,7.2,None,22.0,1,6,1,1,9
1862,1990.0,6.7,Few,51.0,2,5,8,1,10
1863,1995.0,8.3,Few,126.0,2,1,7,1,10
1865,1993.0,6.3,Several,92.0,4,4,8,1,10
1866,1962.0,7.7,Many,115.0,1,7,8,1,9
1867,1989.0,8.2,Several,96.0,4,2,6,6,10
1868,2002.0,7.1,None,80.0,0,6,8,1,10
1869,2004.0,7.2,Many,87.0,1,7,8,9,9
1870,1999.0,6.5,Many,166.0,1,5,8,1,9
1871,1997.0,6.6,Few,192.0,3,7,8,1,9
1872,2002.0,7.8,None,152.0,7,9,8,1,9
1875,2002.0,6.5,Few,86.0,4,4,8,1,10
1877,2002.0,4.8,Many,34.0,1,10,9,1,9
1878,2003.0,4.1,Several,106.0,7,4,1,1,9
1879,1980.0,7.1,Many,153.0,1,4,7,1,9
1880,1972.0,6.5,Many,53.0,1,1,7,8,9
1881,2000.0,7.4,Several,238.0,1,7,9,7,9
1882,2004.0,8.0,None,79.0,7,6,8,1,9
1884,1981.0,8.3,None,100.0,1,9,8,1,9
1885,1944.0,6.4,Several,137.0,1,10,8,1,9
1886,1963.0,7.0,Several,83.0,1,7,7,1,9
1887,2001.0,6.2,Few,78.0,3,4,8,1,9
1890,1998.0,6.6,Few,45.0,1,4,9,8,9
1893,1998.0,6.8,Few,141.0,1,10,3,7,9
1894,1997.0,7.0,Several,81.0,1,7,2,2,9
1896,1992.0,6.8,Many,54.0,1,7,7,1,9
1898,1977.0,6.0,Several,75.0,1,1,5,5,9
1899,2003.0,7.1,Many,60.0,1,5,1,1,9
1900,1996.0,3.8,None,132.0,7,0,6,6,9
1901,1998.0,5.4,Few,112.0,3,8,8,1,9
1902,2003.0,7.9,Several,60.0,1,7,4,4,9
1903,2000.0,7.9,Several,86.0,3,7,7,1,9
1904,1952.0,8.2,Few,123.0,4,4,8,1,10
1905,2005.0,5.3,None,105.0,0,2,9,9,9
1906,2002.0,7.9,Many,135.0,1,6,8,1,9
1907,1998.0,7.2,Several,85.0,1,4,9,9,9
1908,2002.0,8.1,Several,100.0,4,2,6,6,10
1909,1987.0,7.0,Many,133.0,1,1,9,3,8
1910,2000.0,6.3,Many,105.0,1,3,8,1,9
1911,1999.0,7.5,Few,154.0,4,2,9,9,10
1912,2001.0,6.8,None,96.0,1,6,8,1,9
1913,1973.0,5.0,Few,170.0,1,7,2,2,9
1914,2004.0,6.6,Few,210.0,4,2,6,6,10
1915,2002.0,8.9,Few,109.0,7,9,9,1,9
1916,1993.0,7.6,Several,54.0,1,7,9,7,9
1917,1999.0,5.9,Many,92.0,1,8,6,6,9
1918,1996.0,7.9,Several,94.0,0,0,7,1,7
1921,1994.0,7.7,Several,95.0,0,0,7,1,7
1922,1999.0,8.3,None,109.0,7,6,8,1,9
1923,2001.0,2.7,Several,84.0,1,1,2,2,9
1924,1998.0,7.2,Several,70.0,1,6,8,1,9
1925,2002.0,7.5,None,97.0,4,2,6,6,10
1926,2005.0,5.6,None,23.0,7,2,8,1,10
1927,2000.0,7.9,Many,360.0,1,5,4,9,9
1929,2002.0,5.0,None,79.0,1,4,6,6,9
1930,2005.0,8.0,None,93.0,7,6,8,1,9
1932,1999.0,3.1,Few,139.0,1,8,1,1,9
1933,1947.0,7.3,Many,97.0,1,5,8,1,9
1934,1992.0,7.8,None,127.0,7,6,9,9,9
1935,2000.0,6.9,Few,96.0,1,4,8,1,9
1936,1996.0,6.6,Few,104.0,1,0,3,0,9
1938,1981.0,6.1,Many,117.0,1,8,1,1,9
1939,1970.0,6.4,Several,95.0,1,8,9,5,9
1940,1998.0,3.8,None,81.0,7,4,8,1,9
1941,2000.0,6.7,Few,83.0,1,5,9,8,9
1942,1989.0,7.1,Few,82.0,1,2,6,6,9
1943,2000.0,5.4,None,44.0,7,4,8,1,9
1944,2003.0,6.6,None,123.0,7,10,8,1,9
1945,2002.0,7.2,Few,89.0,0,5,7,1,9
1946,1987.0,7.8,Many,360.0,1,7,9,9,9
1947,2004.0,5.1,None,79.0,7,4,8,1,9
1949,1997.0,7.0,None,112.0,3,6,8,1,10
1950,1999.0,8.5,None,172.0,7,10,7,1,9
1951,1986.0,7.0,Many,102.0,1,4,8,1,9
1952,1977.0,7.8,Many,106.0,1,4,9,3,8
1953,1999.0,6.6,Several,87.0,1,4,2,1,9
1954,2002.0,6.7,Several,97.0,1,0,6,6,9
1956,1999.0,7.6,None,91.0,7,6,7,1,9
1957,1997.0,7.1,None,51.0,1,4,9,8,9
1958,2002.0,5.5,Several,53.0,3,1,8,1,9
1959,1994.0,8.9,Many,112.0,1,5,8,1,9
1960,2002.0,7.1,Few,80.0,7,2,8,1,9
1962,1993.0,7.4,Several,76.0,1,6,8,1,9
1963,1999.0,7.1,Many,74.0,1,4,7,1,9
1964,2005.0,8.1,None,120.0,7,6,8,1,10
1965,1985.0,6.4,None,80.0,3,10,8,1,9
1966,1997.0,6.4,Few,99.0,3,10,1,1,9
1969,1995.0,6.8,Several,88.0,1,0,6,6,9
1970,1945.0,7.2,Several,99.0,1,7,2,2,9
1971,2002.0,7.5,Many,96.0,1,7,9,9,9
1972,2003.0,4.6,Several,90.0,1,7,9,9,9
1973,1966.0,8.3,Many,77.0,4,0,8,1,10
1974,1974.0,7.5,Many,123.0,4,7,9,9,10
1976,1998.0,6.2,Few,90.0,1,7,7,1,9
1977,1987.0,9.1,None,63.0,1,9,8,1,9
1978,2003.0,3.5,Many,73.0,7,0,9,1,9
1979,2002.0,7.8,None,71.0,0,5,7,1,9
1980,1998.0,5.9,None,75.0,3,6,8,1,9
1981,1988.0,6.5,Many,82.0,1,7,8,1,9
1982,2001.0,7.6,None,96.0,7,10,0,1,9
1983,1996.0,6.1,Several,98.0,3,4,8,1,9
1985,1999.0,7.5,None,49.0,1,6,8,1,9
1986,1985.0,4.5,Several,109.0,1,0,1,1,9
1987,2004.0,8.3,Few,150.0,7,4,8,1,10
1988,1994.0,5.2,None,292.0,1,0,9,7,9
1989,1995.0,7.9,None,99.0,3,6,8,1,10
1990,1997.0,5.7,Few,81.0,1,0,3,0,9
1991,1977.0,5.8,None,82.0,1,0,3,1,9
1992,1973.0,6.5,Many,50.0,1,8,5,5,9
1993,1990.0,6.3,Several,91.0,1,10,4,4,9
1994,1992.0,8.2,None,108.0,7,9,7,1,10
1995,1986.0,8.0,None,120.0,7,9,8,1,9
1996,2001.0,5.4,Few,151.0,1,7,8,1,9
1997,1974.0,8.2,Several,100.0,1,6,8,1,9
1998,1981.0,7.1,Few,55.0,1,7,9,3,9
2000,1968.0,7.6,Many,91.0,1,7,9,9,9
2001,2003.0,6.2,Several,100.0,1,10,1,1,9
2003,1999.0,5.4,Few,87.0,1,4,4,4,9
2004,1988.0,7.8,None,93.0,3,6,7,1,9
2005,1963.0,6.8,Several,99.0,1,8,5,5,9
2006,1970.0,6.9,Several,90.0,1,1,9,9,9
2007,2000.0,6.7,None,99.0,7,9,8,1,9
2008,2000.0,7.8,Several,90.0,1,6,7,1,9
2009,1999.0,6.1,None,127.0,1,0,1,1,9
2010,1996.0,6.8,Many,95.0,4,2,6,6,10
2011,2002.0,7.4,Few,25.0,1,6,8,1,9
2012,2002.0,7.3,Few,30.0,3,3,8,1,9
2013,1995.0,7.5,Several,15.0,1,2,6,6,9
2014,1998.0,6.5,None,257.0,3,6,8,1,9
2015,2003.0,7.5,Few,72.0,4,2,6,6,10
2016,1967.0,7.9,Many,107.0,1,6,8,1,9
2017,2004.0,7.4,None,39.0,1,6,8,1,9
2018,1969.0,6.9,None,103.0,0,4,8,1,9
2020,1964.0,7.2,Many,62.0,1,8,5,5,9
2022,1981.0,6.9,Many,86.0,1,4,8,1,9
2023,2004.0,3.8,None,120.0,4,10,7,1,10
2024,1998.0,3.3,None,95.0,3,1,8,1,9
2025,1969.0,7.7,Several,44.0,1,7,6,6,9
2026,2000.0,7.6,None,23.0,7,6,8,1,9
2027,1999.0,4.6,None,81.0,3,4,8,1,9
2028,1996.0,7.8,Many,53.0,1,4,9,9,9
2029,1978.0,7.7,Few,25.0,0,1,7,1,9
2030,1944.0,6.5,Few,95.0,1,10,8,1,9
2031,1993.0,5.7,Several,114.0,1,7,0,1,9
2032,2000.0,8.3,None,90.0,7,9,7,1,9
2033,1976.0,8.0,Many,103.0,1,3,8,1,9
2034,1980.0,4.6,Several,24.0,1,0,8,1,9
2037,1991.0,4.3,None,90.0,7,10,8,1,9
2038,1993.0,7.9,None,60.0,7,9,8,1,9
2039,1984.0,6.7,Several,108.0,1,4,7,1,9
2041,2002.0,6.5,Few,91.0,4,4,8,1,10
2042,1956.0,7.6,Several,95.0,1,6,2,2,9
2043,1996.0,3.5,Several,60.0,7,0,8,1,3
2045,2002.0,7.8,Several,30.0,1,6,8,1,9
2046,1993.0,7.4,Several,78.0,1,4,9,8,9
2049,1997.0,7.3,Few,94.0,3,6,8,1,9
2050,1960.0,2.5,Several,65.0,1,8,9,3,9
2051,1993.0,5.0,None,60.0,0,7,8,1,9
2052,1992.0,6.1,None,167.0,1,0,9,7,9
2053,1990.0,7.7,None,30.0,7,6,8,1,9
2055,2002.0,5.7,Few,88.0,7,2,6,6,9
2056,2002.0,5.3,Several,160.0,7,2,8,1,9
2057,2004.0,7.0,Few,98.0,1,6,8,1,9
2058,2001.0,6.9,Few,98.0,1,6,8,1,9
2059,1992.0,6.7,None,77.0,2,5,8,1,10
2061,2003.0,8.4,Few,176.0,7,9,8,1,9
2062,1998.0,8.0,Many,375.0,1,7,9,9,9
2063,1996.0,6.3,Few,91.0,3,7,8,1,9
2065,1979.0,8.4,Many,30.0,1,7,8,1,9
2066,1984.0,7.7,Many,102.0,1,1,9,9,9
2067,2002.0,5.7,None,85.0,7,10,8,1,9
2068,2001.0,7.9,None,94.0,7,6,8,1,9
2069,1981.0,7.2,Many,113.0,1,3,7,1,9
2070,1980.0,7.0,Several,91.0,1,0,3,0,9
2071,2003.0,7.5,Several,102.0,1,5,9,9,9
2072,2001.0,6.4,None,125.0,1,6,1,1,9
2073,2000.0,7.5,None,88.0,1,6,8,1,9
2074,2000.0,7.7,None,87.0,7,6,8,1,9
2075,2002.0,5.4,Several,55.0,1,6,8,1,9
2076,1997.0,6.4,Few,25.0,1,0,3,0,9
2077,2001.0,7.1,Many,84.0,1,0,9,9,9
2078,1999.0,6.4,Several,96.0,1,8,9,9,9
2079,2000.0,5.8,None,118.0,1,4,3,0,9
2080,1965.0,7.1,None,158.0,1,7,4,4,9
2081,1988.0,7.2,Several,86.0,1,7,7,1,9
2082,2003.0,7.4,Few,60.0,1,0,8,1,5
2083,2004.0,7.3,Several,92.0,1,6,8,1,9
2084,1983.0,7.2,Many,98.0,1,8,1,1,9
2086,1997.0,7.2,None,98.0,7,10,8,1,9
2087,2000.0,7.0,Several,91.0,1,4,9,9,9
2088,2002.0,6.9,None,142.0,7,2,8,1,9
2089,2000.0,8.2,None,92.0,7,6,8,1,9
2090,1996.0,5.2,None,173.0,1,0,3,7,9
2091,1998.0,7.8,Several,90.0,3,2,6,1,9
2092,2000.0,5.8,None,83.0,7,6,8,1,10
2093,1997.0,6.2,None,103.0,1,5,9,8,9
2094,1978.0,7.7,Several,160.0,1,0,4,4,9
2095,1980.0,7.0,None,92.0,1,6,8,1,9
2097,2000.0,7.6,Few,141.0,2,6,8,1,10
2098,1981.0,5.2,Many,60.0,1,1,5,5,9
2099,1973.0,7.2,Several,60.0,1,0,2,2,9
2101,2000.0,7.1,Many,95.0,1,4,9,9,9
2102,1993.0,3.8,Several,107.0,4,4,8,1,10
2103,1995.0,7.9,Several,80.0,0,0,7,1,7
2104,1994.0,6.7,Many,85.0,1,4,8,1,9
2105,2002.0,6.2,Several,50.0,1,4,1,1,9
2106,2004.0,7.9,Many,90.0,1,4,7,1,9
2107,1990.0,8.1,Several,89.0,0,5,7,1,9
2108,1929.0,5.7,Many,87.0,1,7,8,1,9
2109,2004.0,6.4,Few,94.0,4,4,8,1,10
2110,2003.0,6.0,Several,91.0,1,2,2,2,9
2111,1988.0,8.2,None,95.0,1,9,7,1,9
2112,2002.0,6.5,Few,48.0,1,4,9,9,9
2114,1975.0,8.0,None,125.0,3,7,8,1,9
2115,1990.0,6.2,Few,60.0,3,8,7,1,9
2118,2000.0,5.0,None,110.0,1,7,4,4,9
2119,1993.0,5.9,Many,73.0,1,8,5,1,9
2120,1998.0,7.4,Few,84.0,0,5,7,1,9
2121,2003.0,7.3,Many,124.0,1,4,9,9,9
2122,2000.0,7.2,Few,94.0,1,4,9,8,9
2124,2001.0,5.9,Many,45.0,7,2,8,1,9
2125,1972.0,6.1,Few,112.0,1,1,7,1,9
2127,1994.0,8.0,Many,141.0,1,6,8,1,9
2128,1976.0,6.1,Several,76.0,1,7,7,9,9
2129,1974.0,7.3,None,170.0,1,6,8,8,9
2130,1996.0,6.4,Few,189.0,3,7,0,1,9
2131,1961.0,6.8,Few,97.0,1,1,8,1,9
2132,2002.0,2.4,Several,30.0,1,8,8,1,9
2134,1985.0,6.7,Few,90.0,1,7,4,4,9
2135,1992.0,5.3,None,105.0,1,7,3,0,9
2136,2005.0,7.2,Many,80.0,1,7,4,4,9
2137,1997.0,4.9,Few,78.0,1,7,8,1,9
2138,1994.0,7.7,Few,144.0,4,2,6,6,10
2139,2002.0,6.7,Several,89.0,1,5,9,9,9
2140,2004.0,8.7,Several,30.0,0,2,8,1,9
2141,1959.0,9.0,Many,129.0,4,7,8,9,10
2142,1989.0,7.3,Several,95.0,1,0,3,0,4
2143,2003.0,8.5,None,105.0,0,9,9,1,9
2144,1998.0,6.7,Several,126.0,1,4,7,1,9
2145,1996.0,8.7,Many,88.0,1,4,9,9,9
2146,1995.0,5.5,None,85.0,3,7,8,1,9
2147,1998.0,7.6,None,112.0,1,6,8,1,9
2148,1995.0,7.7,Many,111.0,1,0,3,0,9
2149,1960.0,6.3,Few,55.0,1,7,2,2,9
2151,2004.0,4.6,Few,96.0,1,0,4,4,9
2153,1976.0,6.9,Several,96.0,1,4,9,3,9
2154,2001.0,5.8,Few,34.0,1,10,3,0,9
