,year,rating,vote,runtime,kind_N,genre_N,country_N,language_N,director_N
132,2005.0,6.7,None,83.0,1,4,8,1,1
133,1997.0,7.0,Few,100.0,3,7,8,1,9
134,1984.0,5.7,Several,147.0,1,1,5,5,9
135,2004.0,5.1,Few,91.0,1,8,6,6,9
136,1998.0,4.5,Several,128.0,3,4,8,1,9
137,2004.0,8.7,None,87.0,0,6,9,9,9
138,1998.0,6.6,Few,146.0,1,6,8,1,9
139,2001.0,7.9,None,90.0,0,6,9,9,10
141,1996.0,7.7,Several,89.0,1,6,7,1,9
142,2004.0,5.3,Many,94.0,7,0,8,1,9
143,1987.0,7.6,Several,417.0,4,4,7,1,10
145,1990.0,6.7,None,87.0,1,1,9,7,9
146,1993.0,6.8,Many,160.0,4,7,8,1,10
147,1997.0,6.7,None,43.0,1,4,9,9,9
148,1981.0,4.8,Few,117.0,1,0,9,3,9
149,1974.0,4.7,Few,74.0,1,7,5,5,9
150,1990.0,8.2,None,92.0,7,6,8,1,9
151,1987.0,4.5,None,94.0,1,10,9,9,9
152,1998.0,6.5,Several,97.0,1,4,4,9,9
153,1999.0,6.3,Few,110.0,1,0,9,1,9
154,1976.0,7.0,Many,28.0,1,7,1,1,9
155,2002.0,6.2,Several,60.0,1,4,7,1,9
156,1993.0,8.5,None,23.0,7,6,7,1,9
157,1979.0,7.4,None,31.0,4,10,7,1,10
158,2004.0,4.6,None,65.0,7,6,8,1,9
159,1984.0,7.5,Several,25.0,1,7,2,2,9
160,2002.0,5.5,Several,51.0,1,0,2,1,9
161,1993.0,5.7,Few,30.0,3,4,8,1,9
162,1976.0,6.6,Many,134.0,1,7,6,6,9
163,1999.0,6.0,Several,169.0,1,7,9,9,9
165,1987.0,8.0,Many,60.0,1,7,9,3,9
166,1966.0,5.5,Several,61.0,1,0,6,6,9
167,1998.0,7.8,Few,58.0,1,6,8,1,9
168,2002.0,2.4,Few,241.0,7,0,0,1,9
169,2004.0,6.8,None,106.0,1,6,9,1,9
170,1998.0,7.3,Few,104.0,1,4,8,1,10
171,1999.0,5.1,Many,154.0,1,4,8,1,9
172,2000.0,8.3,Many,155.0,2,1,7,1,10
173,2004.0,7.7,None,110.0,7,10,8,8,9
175,2001.0,7.9,Many,51.0,1,2,6,6,9
176,1995.0,9.1,Several,90.0,0,7,7,1,9
177,2003.0,7.7,None,88.0,0,6,9,9,10
178,1996.0,6.5,Several,88.0,1,4,9,8,9
179,2002.0,5.6,Few,83.0,1,2,6,6,9
180,1997.0,6.5,Many,116.0,1,1,7,1,9
181,2003.0,3.1,Few,84.0,1,1,8,1,9
182,2002.0,7.4,Many,8.0,1,3,0,1,9
