,rating,vote,runtime,kind_episode,kind_movie,kind_tv mini series,kind_tv movie,kind_tv series,kind_tv short,kind_video game,kind_video movie,genre_'Action',genre_'Adventure',genre_'Animation',genre_'Biography',genre_'Comedy',genre_'Crime',genre_'Documentary',genre_'Drama',genre_'Horror',genre_'Music',genre_Other,country_'Australia',country_'Canada',country_'France',country_'Hong Kong',country_'India',country_'Italy',country_'Japan',country_'United Kingdom',country_'United States',country_Other,language_'Cantonese',language_'English',language_'French',language_'German',language_'Hindi',language_'Italian',language_'Japanese',language_'Mandarin',language_'Spanish',language_Other,director_'Akira Kurosawa',director_'Beth McCarthy-Miller',director_'David Mallet',director_'Jim Wynorski',director_'Jing Wong',director_'Kevin Dunn',director_'Takashi Miike',director_'Tom Clegg',director_'Werner Herzog',director_Other,director_Unknown,before_90s,90s,2000s
24,Low,210.0,82.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0
25,High,18930.0,105.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0
26,Medium,94804.0,97.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0
27,Low,166.0,118.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1.0
28,Low,35678.0,24.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0
29,High,112.0,92.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0
30,Low,2370.0,25.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0
32,High,20289.0,75.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0
34,High,2968.0,99.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0
35,Medium,2040.0,96.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0
